radio,1 Sí,2 No,TOTAL
020061106,687,18,705
020061107,702,25,727
020061108,728,23,751
020061109,677,18,695
020061110,504,15,519
020061201,480,14,494
020061202,503,26,529
020061203,578,27,605
020061204,343,8,351
020061205,792,29,821
020061206,529,18,547
020061207,654,13,667
020061208,702,22,724
020061209,728,21,749
020061210,504,15,519
020061211,772,20,792
020061212,476,28,504
020061301,652,20,672
020061302,1251,22,1273
020061303,717,25,742
020061304,1172,33,1205
020061305,835,14,849
020061306,504,9,513
020061307,797,37,834
020061308,1110,50,1160
020061309,863,16,879
020061401,834,30,864
020061402,575,29,604
020061403,810,13,823
020061404,1006,17,1023
020061405,984,25,1009
020061406,1067,35,1102
020061407,514,13,527
020061408,501,19,520
020061409,734,18,752
020061410,848,33,881
020061501,623,25,648
020061502,1584,43,1627
020061503,768,30,798
020061504,636,25,661
020061505,713,21,734
020061506,756,21,777
020061507,800,26,826
020061508,903,30,933
020061509,488,15,503
020061510,652,32,684
020061601,640,17,657
020061602,636,22,658
020061603,878,29,907
020061604,643,31,674
020061605,910,34,944
020061606,903,38,941
020061607,969,38,1007
020061608,1274,47,1321
020061609,990,43,1033
020061610,1069,42,1111
020061611,827,22,849
020061701,797,18,815
020061702,853,26,879
020061703,654,25,679
020061704,706,26,732
020061705,1635,41,1676
020061706,990,33,1023
020061707,565,23,588
020061801,593,17,610
020061802,591,14,605
020061803,629,7,636
020061804,683,20,703
020061805,776,20,796
020061806,1042,22,1064
020061807,1098,26,1124
020061808,1006,31,1037
020061809,785,22,807
020061901,844,25,869
020061902,1407,28,1435
020061903,1358,31,1389
020061904,953,28,981
020061905,705,24,729
020061906,943,34,977
020061907,907,32,939
020061908,857,18,875
020062001,468,14,482
020062002,523,23,546
020062003,907,27,934
020062004,504,10,514
020062005,799,16,815
020062006,779,22,801
020062007,573,16,589
020062008,1131,36,1167
020062009,707,33,740
020062010,813,33,846
020062101,586,16,602
020062102,921,36,957
020062103,962,40,1002
020062104,592,13,605
020062105,728,25,753
020062106,494,12,506
020062107,895,40,935
020062108,1121,39,1160
020062109,682,35,717
020062110,789,17,806
020062111,938,35,973
020070101,562,21,583
020070102,817,43,860
020070103,797,41,838
020070104,676,32,708
020070105,399,21,420
020070106,680,35,715
020070107,439,27,466
020070108,681,22,703
020070109,614,33,647
020070110,1045,47,1092
020070201,775,32,807
020070202,908,41,949
020070203,771,26,797
020070204,1638,72,1710
020070205,862,74,936
020070206,1018,45,1063
020070207,649,39,688
020070208,652,36,688
020070209,927,38,965
020070301,656,23,679
020070302,900,23,923
020070303,1052,40,1092
020070304,1076,38,1114
020070305,737,23,760
020070306,866,36,902
020070307,1087,44,1131
020070308,679,33,712
020070309,648,29,677
020070310,977,42,1019
020070401,1016,26,1042
020070402,734,19,753
020070403,957,24,981
020070404,1192,73,1265
020070405,805,11,816
020070406,1112,29,1141
020070407,1093,52,1145
020070408,885,24,909
020070409,576,15,591
020070410,863,28,891
020070501,720,10,730
020070502,618,15,633
020070503,806,35,841
020070504,990,21,1011
020070505,1072,30,1102
020070506,601,18,619
020070507,625,17,642
020070508,705,16,721
020070509,1016,40,1056
020070601,852,38,890
020070602,742,29,771
020070603,581,25,606
020070604,779,29,808
020070605,838,29,867
020070606,859,29,888
020070607,822,24,846
020070608,425,8,433
020070609,661,14,675
020070701,584,22,606
020070702,541,19,560
020070703,887,36,923
020070704,591,32,623
020070705,605,13,618
020070706,892,39,931
020070707,617,26,643
020070708,477,14,491
020070709,877,33,910
020070710,734,33,767
020070711,583,16,599
020070801,655,11,666
020070802,802,41,843
020070803,557,14,571
020070804,762,30,792
020070805,982,32,1014
020070806,841,28,869
020070807,633,16,649
020070808,757,29,786
020070901,618,20,638
020070902,588,19,607
020070903,503,21,524
020070904,777,25,802
020070905,456,21,477
020070906,836,29,865
020070907,709,18,727
020070908,921,19,940
020070909,650,16,666
020070910,650,18,668
020070911,543,11,554
020071001,695,19,714
020071002,361,10,371
020071003,552,20,572
020071004,660,14,674
020071005,602,20,622
020071006,730,15,745
020071007,674,22,696
020071008,1020,18,1038
020071009,639,18,657
020071010,888,24,912
020071101,819,19,838
020071102,834,13,847
020071103,805,26,831
020071104,885,28,913
020071105,517,17,534
020071106,746,23,769
020071107,1071,26,1097
020071108,941,28,969
020071109,933,20,953
020071110,607,17,624
020071201,967,23,990
020071202,543,20,563
020071203,735,23,758
020071204,735,34,769
020071205,694,22,716
020071206,693,30,723
020071207,569,24,593
020071208,555,20,575
020071209,768,27,795
020071301,672,25,697
020071302,663,26,689
020071303,921,34,955
020071304,530,17,547
020071305,779,19,798
020071306,700,23,723
020071307,486,50,536
020071308,521,19,540
020071309,465,15,480
020071310,464,20,484
020071311,703,26,729
020071312,647,24,671
020071313,535,20,555
020071314,677,19,696
020071315,472,13,485
020071401,772,30,802
020071402,766,30,796
020071403,659,38,697
020071404,655,21,676
020071405,870,31,901
020071406,1034,40,1074
020071407,830,77,907
020071408,862,44,906
020071409,787,48,835
020071410,706,37,743
020071411,857,37,894
020071412,869,31,900
020071413,694,22,716
020071501,627,33,660
020071502,991,49,1040
020071503,875,46,921
020071504,603,29,632
020071505,659,23,682
020071506,978,37,1015
020071507,668,27,695
020071508,737,31,768
020071509,1114,50,1164
020071510,926,47,973
020071511,1072,46,1118
020071601,699,13,712
020071602,736,29,765
020071603,770,24,794
020071604,676,29,705
020071605,753,22,775
020071606,945,32,977
020071607,882,37,919
020071608,1026,34,1060
020071609,966,52,1018
020071701,1424,90,1514
020071702,1315,141,1456
020071703,1138,118,1256
020071704,1385,122,1507
020071705,738,86,824
020071706,1090,116,1206
020071707,2001,214,2215
020071708,932,75,1007
020071709,1558,129,1687
020071710,1288,122,1410
020071711,462,49,511
020071801,1257,147,1404
020071802,403,35,438
020071803,768,90,858
020071804,715,47,762
020071805,865,77,942
020071806,1379,156,1535
020071807,1081,78,1159
020071808,876,77,953
020071809,997,111,1108
020071810,1255,106,1361
020071811,1116,106,1222
020071901,781,53,834
020071902,1445,120,1565
020071903,1153,101,1254
020071904,1347,92,1439
020071905,1228,82,1310
020071906,1672,130,1802
020072001,948,38,986
020072002,520,23,543
020072003,677,21,698
020072004,502,18,520
020072005,747,33,780
020072006,749,37,786
020072007,756,33,789
020072008,1098,49,1147
020072009,837,33,870
020072010,1198,61,1259
020072011,1000,39,1039
020072012,613,25,638
020072013,1493,76,1569
020072101,1060,40,1100
020072102,1033,45,1078
020072103,901,29,930
020072104,524,23,547
020072105,637,28,665
020072106,862,22,884
020072107,672,26,698
020072108,410,14,424
020072109,665,25,690
020072110,872,20,892
020072111,768,19,787
020072112,863,35,898
020072201,593,27,620
020072202,843,31,874
020072203,828,23,851
020072204,883,23,906
020072205,912,33,945
020072206,851,19,870
020072207,515,21,536
020072208,529,17,546
020072209,583,18,601
020072210,733,26,759
020072211,705,20,725
020072212,550,21,571
020072213,699,31,730
020072301,769,36,805
020072302,876,65,941
020072303,681,23,704
020072304,589,27,616
020072305,688,19,707
020072306,710,35,745
020072307,773,25,798
020072308,749,29,778
020072309,693,16,709
020072401,834,31,865
020072402,856,27,883
020072403,1102,65,1167
020072404,973,34,1007
020072405,878,29,907
020072406,972,37,1009
020072407,791,38,829
020072408,831,28,859
020072409,891,27,918
020072410,891,41,932
020072411,969,37,1006
020080101,981,79,1060
020080102,1385,115,1500
020080103,1113,106,1219
020080104,1540,184,1724
020080105,1467,157,1624
020080106,1910,192,2102
020080107,1188,70,1258
020080108,1027,65,1092
020080109,2226,216,2442
020080110,1302,114,1416
020080111,560,56,616
020080112,2860,283,3143
020080201,1161,62,1223
020080202,483,30,513
020080203,476,26,502
020080204,727,43,770
020080205,511,25,536
020080206,644,31,675
020080207,1127,56,1183
020080208,822,42,864
020080209,771,36,807
020080210,514,16,530
020080301,867,47,914
020080302,735,26,761
020080303,520,35,555
020080304,721,35,756
020080305,669,34,703
020080306,367,18,385
020080307,695,34,729
020080308,1548,158,1706
020080309,1758,133,1891
020080310,1461,108,1569
020080401,819,42,861
020080402,572,27,599
020080403,608,30,638
020080404,621,13,634
020080405,882,45,927
020080406,990,56,1046
020080407,770,33,803
020080408,803,30,833
020080409,725,27,752
020080410,816,38,854
020080411,678,34,712
020080501,745,28,773
020080502,703,52,755
020080503,733,52,785
020080504,814,29,843
020080505,567,30,597
020080506,766,32,798
020080507,929,48,977
020080508,579,28,607
020080509,851,24,875
020080510,1066,36,1102
020080511,852,36,888
020080601,864,38,902
020080602,1093,53,1146
020080603,1116,54,1170
020080604,695,22,717
020080605,914,44,958
020080606,911,49,960
020080607,567,23,590
020080608,710,28,738
020080609,779,51,830
020080610,585,29,614
020080611,588,37,625
020080701,1162,89,1251
020080702,1384,127,1511
020080703,1428,122,1550
020080704,1300,102,1402
020080705,1457,117,1574
020080706,1142,118,1260
020080707,1795,156,1951
020080708,1558,179,1737
020080709,2568,276,2844
020080710,863,80,943
020080711,1379,104,1483
020080712,1475,112,1587
020080713,1311,98,1409
020080714,1646,203,1849
020080801,807,39,846
020080802,845,43,888
020080803,632,27,659
020080804,758,23,781
020080805,569,18,587
020080806,874,40,914
020080807,796,26,822
020080808,597,24,621
020080809,683,31,714
020080810,821,33,854
020080811,864,31,895
020080901,754,27,781
020080902,826,28,854
020080903,949,41,990
020080904,484,11,495
020080905,868,34,902
020080906,926,51,977
020080907,725,29,754
020080908,700,34,734
020080909,846,40,886
020081001,819,34,853
020081002,710,32,742
020081003,950,30,980
020081004,2034,97,2131
020081005,2213,102,2315
020081006,1470,69,1539
020081007,1489,82,1571
020081008,1038,80,1118
020081101,2668,122,2790
020081102,1875,99,1974
020081103,2751,111,2862
020081104,1796,56,1852
020081105,1194,52,1246
020081201,845,34,879
020081202,924,47,971
020081203,939,34,973
020081204,898,39,937
020081205,908,34,942
020081206,678,34,712
020081207,757,33,790
020081301,36,6,42
020081302,332,18,350
020081303,922,43,965
020081304,965,45,1010
020081305,878,40,918
020081306,595,34,629
020081307,680,25,705
020081308,828,41,869
020081401,1531,149,1680
020081402,1227,122,1349
020081403,1719,160,1879
020081404,2245,238,2483
020081405,1071,52,1123
020081406,726,34,760
020081407,872,33,905
020081408,737,28,765
020081409,908,54,962
020081410,905,34,939
020081501,2305,242,2547
020081502,2019,209,2228
020081503,2011,191,2202
020081504,784,72,856
020081505,2843,272,3115
020081506,776,55,831
020081507,784,72,856
020081508,1137,111,1248
020081509,1490,124,1614
020081510,1134,69,1203
020081601,934,59,993
020081602,543,46,589
020081603,1000,58,1058
020081604,837,60,897
020081605,895,42,937
020081606,756,42,798
020081607,913,65,978
020081608,708,48,756
020081609,817,51,868
020081610,827,63,890
020081701,535,21,556
020081702,578,19,597
020081703,626,14,640
020081704,728,28,756
020081705,397,24,421
020090101,496,22,518
020090102,415,14,429
020090103,574,18,592
020090104,696,21,717
020090105,693,24,717
020090106,752,27,779
020090107,652,12,664
020090108,640,24,664
020090109,702,26,728
020090201,772,28,800
020090202,724,20,744
020090203,766,23,789
020090204,905,35,940
020090205,1056,35,1091
020090206,661,27,688
020090207,723,37,760
020090208,632,24,656
020090209,801,33,834
020090210,716,23,739
020090211,988,39,1027
020090212,568,31,599
020090301,590,23,613
020090302,621,32,653
020090303,560,20,580
020090304,604,21,625
020090305,505,17,522
020090306,705,22,727
020090307,770,30,800
020090308,722,31,753
020090309,654,21,675
020090310,771,15,786
020090311,781,28,809
020090312,552,20,572
020090313,877,26,903
020090401,874,27,901
020090402,853,45,898
020090403,827,38,865
020090404,860,37,897
020090405,929,34,963
020090406,599,13,612
020090407,653,17,670
020090408,677,34,711
020090409,660,23,683
020090410,711,29,740
020090411,879,32,911
020090501,817,33,850
020090502,777,28,805
020090503,962,30,992
020090504,794,30,824
020090505,940,37,977
020090506,790,28,818
020090507,745,24,769
020090508,782,25,807
020090509,740,23,763
020090510,778,39,817
020090511,850,23,873
020090601,1032,37,1069
020090602,777,27,804
020090603,868,32,900
020090604,841,31,872
020090605,1032,35,1067
020090606,665,26,691
020090607,933,38,971
020090608,725,27,752
020090609,788,52,840
020090610,838,32,870
020090611,765,31,796
020090612,771,21,792
020090701,717,26,743
020090702,803,21,824
020090703,540,15,555
020090704,619,26,645
020090705,668,25,693
020090706,794,33,827
020090707,566,18,584
020090708,681,27,708
020090709,787,27,814
020090710,615,28,643
020090711,711,36,747
020090712,925,45,970
020090713,772,32,804
020090714,795,36,831
020090801,715,32,747
020090802,681,27,708
020090803,782,28,810
020090804,666,20,686
020090805,847,27,874
020090806,930,47,977
020090807,969,51,1020
020090808,965,60,1025
020090809,700,32,732
020090810,833,40,873
020090811,855,23,878
020090812,890,35,925
020090813,593,28,621
020090901,709,46,755
020090902,669,25,694
020090903,940,47,987
020090904,574,28,602
020090905,668,23,691
020090906,815,37,852
020090907,905,28,933
020090908,544,22,566
020090909,745,36,781
020090910,770,36,806
020090911,696,30,726
020090912,622,34,656
020090913,582,28,610
020090914,900,43,943
020091001,775,20,795
020091002,975,46,1021
020091003,1031,55,1086
020091004,578,30,608
020091005,807,38,845
020091006,742,35,777
020091007,616,26,642
020091008,877,26,903
020091009,423,16,439
020091010,709,28,737
020091011,550,16,566
020091012,491,18,509
020091101,1084,34,1118
020091102,994,39,1033
020091103,778,37,815
020091104,991,32,1023
020091105,1121,56,1177
020091106,887,36,923
020091107,1033,48,1081
020091108,848,29,877
020091109,999,46,1045
020091110,829,51,880
020091111,885,51,936
020091112,1169,49,1218
020091201,952,46,998
020091202,501,29,530
020091203,791,37,828
020091204,758,27,785
020091205,742,29,771
020091206,936,41,977
020091207,664,28,692
020091208,960,32,992
020091209,801,40,841
020091210,979,47,1026
020091211,804,27,831
020091212,662,39,701
